[2022-07-09 19:44:22] COMMAND: train_auto.py -name walking_cmd_2 -input_dims 7
[2022-07-09 19:44:22] Arguments: {'learning_rate': 0.001, 'dropout_prob': 0.2, 'l2': 0, 'max_epoch': 20, 'data_dir': ['./data/sets/walking_cmd_2_x.csv', './data/sets/walking_cmd_2_y.csv'], 'batch_size': 100, 'save_dir': './kernel/results/walking_cmd_2', 'log_file': './kernel/results/walking_cmd_2/training_logs.out', 'model_file': './kernel/results/walking_cmd_2/checkpoint_best.pt', 'device': device(type='cuda', index=0), 'mode': 'rollout-training', 'seed': None, 'decay_rate': 0.8}
[2022-07-09 19:44:22] Commencing training!
[2022-07-09 19:47:25] Epoch 000: loss 0.01159 | lr 5.341e-08 | validation_loss 1.596e-07
[2022-07-09 19:49:41] Epoch 000: loss 0.005655 | lr 5.341e-08 | validation_loss 1.528e-07
[2022-07-09 19:51:53] Epoch 000: loss 0.005414 | lr 5.341e-08 | validation_loss 1.261e-07
[2022-07-09 19:54:05] Epoch 000: loss 0.005222 | lr 5.341e-08 | validation_loss 1.287e-07
[2022-07-09 19:56:17] Epoch 000: loss 0.00511 | lr 5.341e-08 | validation_loss 1.345e-07
[2022-07-09 19:58:20] Epoch 000: loss 0.005025 | lr 5.341e-08 | validation_loss 1.111e-07
[2022-07-09 20:00:21] Epoch 000: loss 0.004956 | lr 5.341e-08 | validation_loss 1.216e-07
[2022-07-09 20:02:21] Epoch 000: loss 0.004894 | lr 5.341e-08 | validation_loss 1.022e-07
[2022-07-09 20:04:28] Epoch 000: loss 0.004854 | lr 5.341e-08 | validation_loss 1.001e-07
[2022-07-09 20:06:38] Epoch 000: loss 0.00482 | lr 5.341e-08 | validation_loss 1.066e-07
[2022-07-09 20:08:48] Epoch 000: loss 0.004786 | lr 5.341e-08 | validation_loss 9.827e-08
[2022-07-09 20:10:57] Epoch 000: loss 0.004773 | lr 5.341e-08 | validation_loss 9.408e-08
[2022-07-09 20:13:09] Epoch 000: loss 0.00474 | lr 5.341e-08 | validation_loss 1.069e-07
[2022-07-09 20:15:19] Epoch 000: loss 0.004731 | lr 5.341e-08 | validation_loss 1.017e-07
[2022-07-09 20:17:30] Epoch 000: loss 0.004706 | lr 5.341e-08 | validation_loss 8.923e-08
[2022-07-09 20:19:36] Epoch 000: loss 0.004695 | lr 5.341e-08 | validation_loss 9.142e-08
[2022-07-09 20:21:44] Epoch 000: loss 0.004685 | lr 5.341e-08 | validation_loss 9.695e-08
[2022-07-09 20:23:58] Epoch 000: loss 0.004678 | lr 5.341e-08 | validation_loss 9.014e-08
[2022-07-09 20:26:08] Epoch 000: loss 0.004667 | lr 5.341e-08 | validation_loss 9.444e-08
[2022-07-09 20:28:17] Epoch 000: loss 0.004662 | lr 5.341e-08 | validation_loss 9.484e-08
[2022-07-09 20:30:28] Epoch 000: loss 0.004673 | lr 5.341e-08 | validation_loss 9.875e-08
[2022-07-09 20:32:37] Epoch 000: loss 0.004654 | lr 5.341e-08 | validation_loss 9.239e-08
[2022-07-09 20:34:40] Epoch 000: loss 0.004653 | lr 5.341e-08 | validation_loss 9.093e-08
[2022-07-09 20:36:43] Epoch 000: loss 0.004661 | lr 5.341e-08 | validation_loss 9.574e-08
