[2022-07-09 22:25:25] COMMAND: train_auto.py -name walking_cmd_3_com -input_dims 10
[2022-07-09 22:25:25] Arguments: {'learning_rate': 0.001, 'dropout_prob': 0.2, 'l2': 0, 'max_epoch': 20, 'data_dir': ['./data/sets/walking_cmd_3_com_x.csv', './data/sets/walking_cmd_3_com_y.csv'], 'batch_size': 100, 'save_dir': './kernel/results/walking_cmd_3_com', 'log_file': './kernel/results/walking_cmd_3_com/training_logs.out', 'model_file': './kernel/results/walking_cmd_3_com/checkpoint_best.pt', 'device': device(type='cuda', index=0), 'mode': 'rollout-training', 'seed': None, 'decay_rate': 0.8}
[2022-07-09 22:25:25] Commencing training!
[2022-07-09 22:28:00] Epoch 000: loss 0.01521 | lr 5.14e-08 | validation_loss 3.479e-07
[2022-07-09 22:29:59] Epoch 000: loss 0.008857 | lr 5.14e-08 | validation_loss 2.806e-07
[2022-07-09 22:31:59] Epoch 000: loss 0.008392 | lr 5.14e-08 | validation_loss 2.879e-07
[2022-07-09 22:33:57] Epoch 000: loss 0.008148 | lr 5.14e-08 | validation_loss 2.606e-07
[2022-07-09 22:35:56] Epoch 000: loss 0.007984 | lr 5.14e-08 | validation_loss 2.32e-07
[2022-07-09 22:37:55] Epoch 000: loss 0.007872 | lr 5.14e-08 | validation_loss 2.351e-07
[2022-07-09 22:39:54] Epoch 000: loss 0.007782 | lr 5.14e-08 | validation_loss 2.194e-07
[2022-07-09 22:41:53] Epoch 000: loss 0.007715 | lr 5.14e-08 | validation_loss 2.222e-07
[2022-07-09 22:43:52] Epoch 000: loss 0.007657 | lr 5.14e-08 | validation_loss 2.075e-07
[2022-07-09 22:45:50] Epoch 000: loss 0.007621 | lr 5.14e-08 | validation_loss 2.107e-07
[2022-07-09 22:47:49] Epoch 000: loss 0.007584 | lr 5.14e-08 | validation_loss 2.076e-07
[2022-07-09 22:49:47] Epoch 000: loss 0.007564 | lr 5.14e-08 | validation_loss 2.01e-07
[2022-07-09 22:51:46] Epoch 000: loss 0.007537 | lr 5.14e-08 | validation_loss 1.962e-07
[2022-07-09 22:53:44] Epoch 000: loss 0.007526 | lr 5.14e-08 | validation_loss 2.122e-07
[2022-07-09 22:55:43] Epoch 000: loss 0.007504 | lr 5.14e-08 | validation_loss 2.074e-07
[2022-07-09 22:57:41] Epoch 000: loss 0.007493 | lr 5.14e-08 | validation_loss 2.095e-07
[2022-07-09 22:59:39] Epoch 000: loss 0.007492 | lr 5.14e-08 | validation_loss 2.148e-07
[2022-07-09 23:01:38] Epoch 000: loss 0.007483 | lr 5.14e-08 | validation_loss 2.102e-07
[2022-07-09 23:03:37] Epoch 000: loss 0.007478 | lr 5.14e-08 | validation_loss 2.062e-07
[2022-07-09 23:05:36] Epoch 000: loss 0.007468 | lr 5.14e-08 | validation_loss 2.178e-07
[2022-07-09 23:07:35] Epoch 000: loss 0.007474 | lr 5.14e-08 | validation_loss 2.053e-07
[2022-07-09 23:09:34] Epoch 000: loss 0.007463 | lr 5.14e-08 | validation_loss 1.926e-07
[2022-07-09 23:11:34] Epoch 000: loss 0.007462 | lr 5.14e-08 | validation_loss 2.051e-07
[2022-07-09 23:13:33] Epoch 000: loss 0.00747 | lr 5.14e-08 | validation_loss 1.938e-07
[2022-07-09 23:15:31] Epoch 000: loss 0.007463 | lr 5.14e-08 | validation_loss 2.125e-07
[2022-07-09 23:17:30] Epoch 000: loss 0.007446 | lr 5.14e-08 | validation_loss 2.01e-07
[2022-07-09 23:19:29] Epoch 000: loss 0.007458 | lr 5.14e-08 | validation_loss 2.045e-07
[2022-07-09 23:21:27] Epoch 000: loss 0.007463 | lr 5.14e-08 | validation_loss 1.937e-07
[2022-07-09 23:23:27] Epoch 000: loss 0.007458 | lr 5.14e-08 | validation_loss 2.018e-07
[2022-07-09 23:25:25] Epoch 000: loss 0.007445 | lr 5.14e-08 | validation_loss 2.033e-07
[2022-07-09 23:27:24] Epoch 000: loss 0.007451 | lr 5.14e-08 | validation_loss 2.105e-07
