[2022-06-27 16:30:54] COMMAND: train_ind_legs.py
[2022-06-27 16:30:54] Arguments: {'learning_rate': 0.001, 'dropout_prob': 0.2, 'l2': 0, 'max_epoch': 20, 'data_dir': ['./data/sets/walking_cmd_x.csv', './data/sets/walking_cmd_y.csv'], 'batch_size': 1000, 'save_dir': './kernel/results/walking_ind', 'log_file': './kernel/results/walking_ind/training_logs.out', 'model_file': './kernel/results/walking_ind/checkpoint_best.pt', 'device': device(type='cuda', index=0), 'mode': 'rollout-training', 'seed': None, 'decay_rate': 0.8}
[2022-06-27 16:30:54] Commencing training!
[2022-06-27 16:32:37] Epoch 000: loss 0.01501 | lr 1.005e-07 | validation_loss 5.016e-07
[2022-06-27 16:34:20] Epoch 000: loss 0.00818 | lr 1.005e-07 | validation_loss 5.47e-07
[2022-06-27 16:36:01] Epoch 000: loss 0.007625 | lr 1.005e-07 | validation_loss 3.725e-07
[2022-06-27 16:37:43] Epoch 000: loss 0.007338 | lr 1.005e-07 | validation_loss 2.609e-07
[2022-06-27 16:39:26] Epoch 000: loss 0.007147 | lr 1.005e-07 | validation_loss 3.494e-07
[2022-06-27 16:41:09] Epoch 000: loss 0.007008 | lr 1.005e-07 | validation_loss 3.332e-07
[2022-06-27 16:42:52] Epoch 000: loss 0.00687 | lr 1.005e-07 | validation_loss 3.122e-07
[2022-06-27 16:44:34] Epoch 000: loss 0.006781 | lr 1.005e-07 | validation_loss 2.755e-07
[2022-06-27 16:46:18] Epoch 000: loss 0.006705 | lr 1.005e-07 | validation_loss 2.385e-07
[2022-06-27 16:48:02] Epoch 000: loss 0.006649 | lr 1.005e-07 | validation_loss 2.467e-07
[2022-06-27 16:49:39] Epoch 000: loss 0.006599 | lr 1.005e-07 | validation_loss 2.305e-07
[2022-06-27 16:51:14] Epoch 000: loss 0.006557 | lr 1.005e-07 | validation_loss 2.074e-07
[2022-06-27 16:52:49] Epoch 000: loss 0.006533 | lr 1.005e-07 | validation_loss 2.131e-07
[2022-06-27 16:54:28] Epoch 000: loss 0.006498 | lr 1.005e-07 | validation_loss 2.235e-07
[2022-06-27 16:56:06] Epoch 000: loss 0.006483 | lr 1.005e-07 | validation_loss 2.035e-07
[2022-06-27 16:57:46] Epoch 000: loss 0.006459 | lr 1.005e-07 | validation_loss 1.787e-07
[2022-06-27 16:59:15] Epoch 000: loss 0.006454 | lr 1.005e-07 | validation_loss 2.143e-07
[2022-06-27 17:00:49] Epoch 000: loss 0.006437 | lr 1.005e-07 | validation_loss 1.861e-07
[2022-06-27 17:02:17] Epoch 000: loss 0.006426 | lr 1.005e-07 | validation_loss 1.791e-07
[2022-06-27 17:03:49] Epoch 000: loss 0.006424 | lr 1.005e-07 | validation_loss 1.877e-07
[2022-06-27 17:05:17] Epoch 000: loss 0.006416 | lr 1.005e-07 | validation_loss 1.894e-07
[2022-06-27 17:06:46] Epoch 000: loss 0.006411 | lr 1.005e-07 | validation_loss 2.019e-07
[2022-06-27 17:08:14] Epoch 000: loss 0.006408 | lr 1.005e-07 | validation_loss 1.81e-07
[2022-06-27 17:09:44] Epoch 000: loss 0.006402 | lr 1.005e-07 | validation_loss 1.875e-07
[2022-06-27 17:11:18] Epoch 000: loss 0.006397 | lr 1.005e-07 | validation_loss 1.75e-07
[2022-06-27 17:12:55] Epoch 000: loss 0.006399 | lr 1.005e-07 | validation_loss 1.781e-07
[2022-06-27 17:14:32] Epoch 000: loss 0.006389 | lr 1.005e-07 | validation_loss 1.726e-07
[2022-06-27 17:16:09] Epoch 000: loss 0.006392 | lr 1.005e-07 | validation_loss 1.771e-07
[2022-06-27 17:17:44] Epoch 000: loss 0.006395 | lr 1.005e-07 | validation_loss 1.734e-07
[2022-06-27 17:19:20] Epoch 000: loss 0.006391 | lr 1.005e-07 | validation_loss 1.795e-07
