[2022-07-05 21:17:39] COMMAND: train_sin_phase.py
[2022-07-05 21:17:39] Arguments: {'learning_rate': 0.001, 'dropout_prob': 0.2, 'l2': 0, 'max_epoch': 20, 'data_dir': ['./data/sets/walking_cmd_v2_x.csv', './data/sets/walking_cmd_v2_y.csv'], 'batch_size': 100, 'save_dir': './kernel/results/walking_sin_phase', 'log_file': './kernel/results/walking_sin_phase/training_logs.out', 'model_file': './kernel/results/walking_sin_phase/checkpoint_best.pt', 'device': device(type='cuda', index=0), 'mode': 'rollout-training', 'seed': None, 'decay_rate': 0.8}
[2022-07-05 21:17:39] Commencing training!
[2022-07-05 21:20:22] Epoch 000: loss 0.01039 | lr 5.328e-08 | validation_loss 1.548e-07
[2022-07-05 21:22:28] Epoch 000: loss 0.004502 | lr 5.328e-08 | validation_loss 1.305e-07
[2022-07-05 21:24:35] Epoch 000: loss 0.00435 | lr 5.328e-08 | validation_loss 1.235e-07
[2022-07-05 21:26:42] Epoch 000: loss 0.004249 | lr 5.328e-08 | validation_loss 1.191e-07
[2022-07-05 21:28:46] Epoch 000: loss 0.004164 | lr 5.328e-08 | validation_loss 1.159e-07
[2022-07-05 21:30:53] Epoch 000: loss 0.004078 | lr 5.328e-08 | validation_loss 9.696e-08
[2022-07-05 21:32:59] Epoch 000: loss 0.004028 | lr 5.328e-08 | validation_loss 1.151e-07
[2022-07-05 21:35:06] Epoch 000: loss 0.003981 | lr 5.328e-08 | validation_loss 9.411e-08
[2022-07-05 21:37:12] Epoch 000: loss 0.003941 | lr 5.328e-08 | validation_loss 9.203e-08
[2022-07-05 21:39:19] Epoch 000: loss 0.003905 | lr 5.328e-08 | validation_loss 9.159e-08
[2022-07-05 21:41:25] Epoch 000: loss 0.003876 | lr 5.328e-08 | validation_loss 9.439e-08
[2022-07-05 21:43:31] Epoch 000: loss 0.003864 | lr 5.328e-08 | validation_loss 8.357e-08
[2022-07-05 21:45:38] Epoch 000: loss 0.003844 | lr 5.328e-08 | validation_loss 8.717e-08
[2022-07-05 21:47:46] Epoch 000: loss 0.003835 | lr 5.328e-08 | validation_loss 9.48e-08
[2022-07-05 21:49:52] Epoch 000: loss 0.003825 | lr 5.328e-08 | validation_loss 8.104e-08
[2022-07-05 21:51:59] Epoch 000: loss 0.00381 | lr 5.328e-08 | validation_loss 8.112e-08
[2022-07-05 21:54:05] Epoch 000: loss 0.003799 | lr 5.328e-08 | validation_loss 8.215e-08
[2022-07-05 21:56:11] Epoch 000: loss 0.003797 | lr 5.328e-08 | validation_loss 8.071e-08
[2022-07-05 21:58:17] Epoch 000: loss 0.003787 | lr 5.328e-08 | validation_loss 7.654e-08
[2022-07-05 22:00:23] Epoch 000: loss 0.003785 | lr 5.328e-08 | validation_loss 8.711e-08
[2022-07-05 22:02:29] Epoch 000: loss 0.003788 | lr 5.328e-08 | validation_loss 8.323e-08
[2022-07-05 22:04:35] Epoch 000: loss 0.003791 | lr 5.328e-08 | validation_loss 9.147e-08
[2022-07-05 22:06:42] Epoch 000: loss 0.003781 | lr 5.328e-08 | validation_loss 8.066e-08
[2022-07-05 22:08:48] Epoch 000: loss 0.00378 | lr 5.328e-08 | validation_loss 7.501e-08
[2022-07-05 22:10:55] Epoch 000: loss 0.003781 | lr 5.328e-08 | validation_loss 8.357e-08
[2022-07-05 22:13:02] Epoch 000: loss 0.003774 | lr 5.328e-08 | validation_loss 7.7e-08
[2022-07-05 22:15:09] Epoch 000: loss 0.003782 | lr 5.328e-08 | validation_loss 8.129e-08
[2022-07-05 22:17:15] Epoch 000: loss 0.003774 | lr 5.328e-08 | validation_loss 9.341e-08
[2022-07-05 22:19:22] Epoch 000: loss 0.003771 | lr 5.328e-08 | validation_loss 8.145e-08
[2022-07-05 22:21:28] Epoch 000: loss 0.003774 | lr 5.328e-08 | validation_loss 7.948e-08
[2022-07-05 22:23:34] Epoch 000: loss 0.003771 | lr 5.328e-08 | validation_loss 7.959e-08
[2022-07-05 22:25:41] Epoch 000: loss 0.003782 | lr 5.328e-08 | validation_loss 8.001e-08
[2022-07-05 22:27:47] Epoch 000: loss 0.003774 | lr 5.328e-08 | validation_loss 7.518e-08
